sentence1,sentence2,label
Русские Севастополя обиделись на «семитский одуванчик» С.Собянина.,К 2015 году на севере столицы откроется 9 новых станций метро.,0
В 2008 году республиканец Джон Маккейн победил демократа Барака Обаму - 61% -39%.,В 2008 году демократ Барак Обама одолел республиканца Джона Маккейна с 61% -39%.,0
"5) Детская школа, сдваивает с 4-х классов; детская школа, сдваивает 5-9, средняя школа, сдваивает с 10-ти до 12-ти лет.","5) средняя школа, с углубленным изучением предметов до 4; средняя школа, с углубленным изучением предметов с 5 по 9; объединенная школа, с углубленным изучением предметов с 10 по 12.",0
Кириленко не сыграет за сборную России на Евробаскете-2013.,Андрей Кириленко отказался играть за сборную России на Евробаскете-2013.,1
Испания выдаст России получившего убежище в Великобритании банкира.,Британское убежище не приняли в Испании.,0
Вице-президент Еврокомиссии бойкотирует Олимпиаду в Сочи.,Вице-президент Еврокомиссии отказалась ехать на Олимпиаду в Сочи.,1
"Она была неотъемлемой частью Ассирии, возможно, с VII века до н.э. по 25 век нашей эры.","Она была неотъемлемой частью Ассирии, возможно, с 25-го века до н.э. по 7-й век нашей эры.",0
"Иммиграция из США: Если в американской визе B1 будет отказано, сколько дней мне придется ждать повторного заявления, чтобы избежать повторного обращения?","Иммиграция в США: Если американская виза B1 будет отклонена, сколько дней мне следует ждать повторного заявления, чтобы избежать повторного рассмотрения?",0
"Университет предлагает получение ученой степени на шести факультетах: педагогическом, гуманитарном и социальном, менеджменте, культуре, науке и технологии и промышленных технологиях.","Университет предлагает получение ученой степени на шести факультетах: педагогике, гуманитарных и социальных науках, менеджменте, культурологии, науке и технологии и промышленных технологиях.",1
"Со временем Элктон стал новой американской Gretna Green, хотя сотни людей в Лас-Вегасе по-прежнему женятся каждый год.","Со временем Лас-Вегас стал новой американской Gretna Green, хотя сотни людей в Элктоне по-прежнему женятся каждый год.",0
"На Sony Ericsson Open в 2010 году он победил Ришара Гаске, а в 2007-м звание и второй сеяный выиграл Новак Джокович.","На Sony Ericsson Open 2010 он победил Новака Джоковича и призёра турнира 2007 года, а также второй сеяный Ричард Гаске.",0
Что думают чернокожие женщины о белых парнях?,Что думают белые женщины о черных парнях?,0
"Дитон родился в городе Клэйтон, штат Оклахома, и его семья жила два года в шатре в окрестностях Нью-Мексико.","Дитон родился в городе Клэтон в Нью-Мексико, его семья два года жила в палатке в Оклахоме.",0
Феодосий умер в 395 году в Милане и был погребен в Константинополе.,Феодосий умер в 395 г. в Константинополе и был похоронен в Милане.,0
Эквадорская база Педро Висенте Мальдонадо (Pedro Vicente Maldonado) и чилийская - Артуро Прат (Arturo Prat) расположены на северо-восточном и северном побережье острова.,Чилийская база Артуро Прат и эквадорская база Педро Висенте Мальдонадо расположены на северо-западном и северном побережье острова соответственно.,0
"Если я создал учетную запись Periscope с моим новым номером и я недавно изменил свой номер, как я могу восстановить свой счет на мой старый номер мобильного телефона?","Если я создал учетную запись Periscope со старым номером и недавно изменил его, как я могу восстановить свой счет по новому номеру мобильного телефона?",0
СМИ: Израиль нанес авиаудар по территории Сирии.,СМИ сообщили об авиаударе Израиля по Сирии.,1
"Стоит ли мужчине менять нижнее белье один раз? Также, после ношения пары нижнего белья ежедневно, целесообразно ли перевернуть его и носить его еще раз?","Стоит ли мужчине менять нижнее белье ежедневно? Также, после однократного ношения пары нижнего белья, желательно ли перевернуть его и надеть только один раз?",0
Роберто де Оливейра известен также как Роберто Оливейра (родился 16 декабря 1980 года в Бразилии) - бразильский футболист.,"Роберто Оливейра также известен как Roberto de Olivera (родился 16 декабря 1980 года в Бразилии), бразильский футболист.",1
В Краснодарском крае разбился небольшой самолет.,В Краснодарском крае при падении самолета погиб пилот.,0
Петр I возглавлял болгарский княжеский архит в первые годы правления императора Димитрия (р. 927 - 969).,В первые годы царствования императора Петра I (рег. 927 - 969 гг.) Деметрий возглавлял Болгарийский архиепископат.,0
"В 1810 г. Мэдисон был продан, а первые лоты были заложены в 1811 г. Иоанном Павлом.","В 1810 году была заложена и перенесена Мэдисон, а первые лоты были проданы Иоанном Павлом в 1811 году.",0
Алессандра Скьявоне / Alessandra Schiavone (род. 19 июля 1984 года в Assunta De Rossi) - филиппинская актриса и младшая сестра Алесандры Де Росси.,Алессандра Де Росси (Alessandra Schiavone; 19 июля 1984) - филиппинская актриса и младшая сестра Assunta De Rossi.,0
Мелисио Моралес (в просторечии Melisio Morales) (4 декабря 1838 - 12 мая 1908) - мексиканский соотечественник.,Меласио Моралес (иногда Мелисио Моралес) (4 декабря 1838 года - 12 мая 1908 года) - мексиканский композитор.,0
"Рабочий год подходит к концу, или 9-я пресс-конференция В.Путина.",Украина потратит на «витины тысячи» 750 миллионов долларов за год.,0
СМИ сообщили об убийстве украинского журналиста Олеся Бузины,Американский Комитет защиты журналистов осудил убийство Олеся Бузины,0
"Хант вернулся в Нью-Йорк, пока не переехал в Венице в 1976 году, штат Калифорния.","Хант вернулся в Венице, Калифорния, до 1976 года, когда он переехал в Нью-Йорк.",0
Каков лучший маршрут из Бангалора в Гоа на автомобиле?,Какой самый лучший маршрут из Гоа в Бангалор на машине?,0
"Арестант мог сбежать из ""Матросской тишины"" при помощи ложки.",Из «Матросской тишины» сбежал заключенный.,0
"Город Отисфилд, который сейчас находится в графстве Камберленд, до 1978 года входил в состав Оксфордского графства.","Город Отисфилд, на данный момент расположенный в графстве Камберленд, до 1978 года являлся частью графства Оксфорд.",1
"В районе насчитывается 13 начальных школ и более тридцати государственных средних школ, три сельских политехникума, все из которых находятся в ведении правительства.","В районе имеется 13 начальных школ и более 30 средних общеобразовательных школ, три сельских политехникума. Все они возглавляются правительством.",1
По шкале от 0 (очень чистый) до 10 (очень коррумпированный) отмечен индекс восприятия коррупции Zimbabwe 2.0.,На шкале от 0 (высокой коррумпированности) до 10 (очень чистой) отметили индекс восприятия коррупции Zimbabwe 2.0.,0
"Он играл в Нью-Йорке, Майами, Кливленде, Атлантик-Сити и десятилетиями кружил по миру на круизных лайнерах.","Он играл в Атлантик-Сити, Кливленде, Нью-Йорке, Майами, десятилетиями колесил по миру на круизных судах.",1
"Тур прибыл в Шанхай 12 июля 2008 г. и Бангкок, Таиланд, 22 ноября 2008 г.","Тур достиг 12 июля 2008 года в Шанхае и 22 ноября 2008 в Бангкоке, Таиланд.",1
"Сеймур родился 15 декабря 1850 года в Уолкилле в северной части штата Нью-Йорк. В 1880-х годах он приехал в Байонн, штат Нью Джерси, и начал активно участвовать в политике Демократической партии.","Сеймур родился 15 декабря 1850 года в Уолкилле, Нью-Йорк, прибыл в 1880-е годы в Бейонне, штат Нью-Джерси, и начал активно заниматься политикой в Демократической партии.",1
"Энди Роддик победил Джона Изнера, 6 -- 4, 7 -- 6","Энди Роддик победил Джона Изнера, 6 -- 4, 7 -- 6",1
"913-я десантно-транспортная эскадрилья была объединена в сентябре 1985 года с 13й воздушно-топливной эскадрой, но действующая эскадра с тех пор не консолидировалась.","913-я эскадрилья авианосцев в сентябре 1985 была объединена с 13-й эскадрильей дозаправки в воздухе, но действующая эскадрилья не была с тех пор объединена.",1
"Первым сектором Фултон Малл в том виде, в каком он существует сегодня, является Фултон Стрит между улицей Адамс и Флэт Авеню.","Начальный сегмент улицы Фултон, как он есть сегодня, представляет собой фултон Mall между улицами Адамс и Флэтфих Авеню.",0
Адвокат заявил об избиении свидетеля по делу Ю.Буданова.,Защита обвиняемого в убийстве Буданова заявила об избиении свидетеля.,1
"Глисфорд окружен фермерскими угодьями и находится недалеко от исторических деревень Суффолк, таких как Лавенхэм и Лонг Мелфорд.","Лонг-Мелфорд окружен пахотными угодьями и находится недалеко от исторических деревень Суффолк, таких как Лавенхэм и Глисфорд.",0
"В 1996 году был назначен главным операционным директором ""АИУ"" в Нью-Йорке и назначен президентом в 1997 году.",В 1996 году он был назначен главным операционным директором AIU в Нью-Йорке и был назначен Президентом в 1997 году.,1
У меня черный костюм и коричневые туфли. Рубашку и галстук какого цвета я должен носить?,У меня коричневый костюм и черные туфли. Рубашку и галстук какого цвета я должен носить?,0
"В 1884 году она вышла замуж за Роберта Уильяма Фостера Уэлча, который переехал в Саутгемптон в 1903 году, прежде чем спустя год она вышла замуж за Филиппа Браэма (врач).","В 1884 году она вышла замуж за Роберта Уильяма Фостера Уэлча. Она переехала в Саутгемптон в 1903 году, прежде чем выйти замуж за Филиппа Брэма (врача) годом позже.",1
"Выборы в Oldham Council 1999 состоялись 6 мая 1999 года для избрания членов Oldham Council Metropolitan Borowsky в Greater Manchester, England.","Выбор Oldham Metropolitan Borough Council в 1999 году состоялся 6 мая 1999 года для избрания членов Олдхэмского совета в Greater Manchester, England.",1
Национал-большевизм (Nazbol) как политическое движение сочетает в себе элементы радикального национализма (особенно русский национализм) и Большевизма.,"Как политическое движение, национал-большевизм (Nazbol) соединяет элементы русского национализма (особенно радикальный национализм) и Большевизма.",1
Ханна Уилард вышла замуж за Саймона Вилларда 29 ноября 1776 года.,Саймон Уиллард женился на Ханне Уилярд 29 ноября 1776 года.,1
"Правоохранители Германии задержали участника ""Ночных волков""",Задержанного в Германии байкера «Ночных волков» отпустили,0
"Один человек погиб, 90 ранены в Индии после землетрясения в Непале",Топ-менеджер Google погиб на Эвересте после землетрясения в Непале,0
Прибившего себя к Красной площади питерца будут судить за хулиганство.,"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?""",0
Известный рэпер задержан в Москве за разбойное нападение.,Рэпер Рома Жиган задержан в Москве по подозрению в разбое.,1
"Рукавицкий родился в Николаеве, Украина; его семья переехала в Австралию, когда ему было 14 лет, поселившись в Перте.","Рукавицкий родился в австралийском Перте, его семья переехала в Украину в 14 лет, поселившись в Мякояив.",0
"Штаб-квартира ACVM расположена в Эдинбурге и имеет офисы в Глазго, Абердине, Ньюкасле, Манчестере и Милтон-Кейнсе.","ACVM базируется в Глазго и имеет офисы в Эдинбурге, Абердине, Ньюкасле, Манчестере и Милтон Кейнсе.",0
"Новая демократическая партия Онтарио (Ontario NDP) является одной из трех основных политических партий Онтарио, которые принимают участие во всеобщих выборах 2011 года в ОнТАРИО (Канада).","Новая демократическая партия Онтарио (Ontario NDP) - одна из трех основных политических партий Онтарио, участвующих во всеобщих выборах 2011 года.",1
Может ли кинетическая фрикция и статическая фрикция сосуществовать?,Может ли статическая фрикция и кинетическая фрикция сосуществовать?,1
На летних Паралимпийских играх 2000 года страну представляли 29 мужчин и 48 женщин-спортсменов.,На летних - Паралимпийских - 2000 - Играх страну представляли 29 мужчин и 48 женщин-спортсменов.,1
"Впервые была выпущена в Японии 26 февраля 1991 г., а позднее вышла в Северной Америке в сентябре 1991 г.","Впервые он был выпущен в Северной Америке 26 февраля 1991 г., а затем в Японии в сентябре 1991 г.",0
В этот период было несколько конкурирующих организаций на ирландской стороне радикальной республиканской политики.,В тот период были несколько конкурирующих организаций на радикальной - республиканской - стороне ирландской политики.,1
"Ее отец, Джон Файф (John Fife), вместе с Томасом Майклом Гринхоу (Thomas Michael Greenhow) основал городскую больницу Eye, а затем Медицинскую школу Университета Ньюкасла.","Ее отец Томас Майкл Гринхоу (Thomas Michael Greenhow) вместе с Джоном Файфом (John Fife) основал городскую больницу Eye, а затем Медицинскую школу Университета Ньюкасла.",0
"Lincoln Theatre (Майами-Бич, Флорида)","Майами Бич, Флорида (Линкольн-театр)",1
"В 1995 году она получила свое первое шоу Takarajka Bow Hall (Большой Шанхай), а в 1997 году - второе.",В 1995 году она получила второе шоу Такараака Bow Hall (Гранд Шанхай) и первое было в 1997.,0
Является ли Python бэк-энд языком программирования или же он является фасадным языком программирования?,Python - это лицевой язык программирования или тыльный язык программирования?,1
США готовы сократить ядерное вооружение вне зависимости от ответа РФ.,США предложат России вдвое сократить ядерное вооружение.,0
Есть ли ощутимая разница в сложности тестов на вождение в США и Великобритании?,Существует ли какая-то существенная разница в трудности между экзаменом на вождение в Великобритании и США?,1
"Мужчина рассказывает Мэтту Мердоку, как женщина взяла под опеку маленькую Наташу незадолго до ее смерти во время Сталинградской битвы осенью 1942 года.","Мужчина рассказывает Мэтту Мердоку о том, как незадолго до ее смерти в Сталинградской битве осенью 1942 года маленькую Наташу взяла под опеку женщина.",1
Парламент Великобритании легализовал однополые браки.,Парламент Великобритании разрешил однополые браки.,1
"Сойер родился в округе Шелби, Алабама, и с родителями переехал в округ Ли, штат Миссисипи.","Сойер, родившийся в округе Ли, штат Миссисипи, переехал со своими родителями в округ Шелби, штат Алабама.",0
"Hard Candy - это четвертый студийный альбом Counting Crows, выпущенный в Соединенных Штатах 7 июня 2002 года и на следующий день - в Великобритании.","Hard Candy - четвертый студийный альбом Counting Crows, который вышел на свет 7 июня 2002 года и на следующий день в США, Великобритании.",0
В ЕП одобрили проект резолюции об ужесточении санкции против России,Европарламент одобрил проект резолюции об усилении санкций против России,1
Я курил в течение 3 дней. До этого я был чист. Мне пришлось сдать тест на наркотики через 2 недели после этого. Я взял домашний тест и едва сдал его. Пройду ли я лабораторный тест?,Я курил в течение 3 дней. До этого я был чист. Мне пришлось сдать тест на наркотики через 2 недели после этого. Я взял домашний тест и едва сдал его. Пройду ли я лабораторный тест?,1
"Турция: Почему люди не реагируют на бомбежки в Европе так же, как во Франции? Это из-за ее религии?","Европа: Почему люди не реагируют на бомбежки в Турции так же, как во Франции? Это из-за ее религии?",0
"Что такое долгосрочный планировщик, краткосрочный планировщик и среднесрочный планировщик в ОС?","Что такое долгосрочный планировщик, среднесрочный планировщик и краткосрочный планировщик в ОС?",1
"Продажи в Северной Америке начались в третьем квартале 2008 года, а в Европе в начале 2009 года как модель 2010 года.","Продажи в Северной Америке начались в третьем квартале 2008 года, а в Европе в начале 2009 года в качестве модели на 2010 год.",1
Товарный поезд сошел с рельсов в США из-за сильного ветра,Следовавший из Харькова в Киев поезд сошел с рельсов,0
Шейхи вложат в дороги России 5 млрд долл.,Арабы вложат пять миллиардов долларов в российские дороги.,1
В Красноярском крае исчез заместитель прокурора.,В Красноярском крае раскрыто убийство помощника районного прокурора.,0
Подозреваемый в убийстве семьи наркополицейского курсант арестован.,Подозреваемый в убийстве семьи сотрудника ФСКН признал вину.,0
Пушков: Украина и США допускают военное решение конфликта в Донбассе,Шойгу нашел первопричину конфликта на Украине в действиях США,0
"Исполнительная и законодательная ветви власти организованы независимо друг от друга во всех трех сферах, в то время как исполнительная власть организована только на уровне федерации и штатов / федерального округа.","Исполнительная и законодательная власть организуется только во всех трех сферах, в то время как судебная система - на уровне федерального правительства и штатов / Федерального округа.",0
Аэропорт Нью-Йорка экстренно эвакуировали из-за подозрительного предмета.,В Нью-Йорке эвакуировали аэропорт из-за подозрительного багажа.,1
Киттери Пойнт (Kittery Point) входит в городскую агломерацию Портленд (South Portland) - Биддефорд (Metropolitan Area).,"Киттери Пойнт (Kittery Point) входит в состав Портленда (South Portland), города Биддефорд (Maine Metropolitan Area).",1
"С 1969 года семья жила в арендуемых домах в Лос-Анджелесе, недалеко от калифорнийских студий звукозаписи.","С 1969 года семья жила в арендуемых домах в Калифорнии, недалеко от звукозаписывающих студий в Лос-Анджелесе.",1
"Чемпионат 2007 года проходил с 21 по 28 января в г. Спока, штат Вашингтон, на стадионе Спока и в конгресс-центре Спока.","Чемпионат 2007 года проходил с 21 по 28 января в Спока, штат Вашингтон, в конференц-центре Спои и на арене Спойи.",1
Президентские выборы завершились на основной части Казахстана,Завершилось голосование на выборах президента Казахстана,0
В России может появиться Министерство возобновляемых ресурсов.,Для управления рыбной отраслью создадут новое министерство.,0
Похитителю женщин из Огайо предъявят обвинения по 329 пунктам.,В обвинительное заключение похитителя из Огайо вошло 329 пунктов.,1
"Почему мы, индийцы, не противостоим Пакистану и Китаю своими силами? Зачем мы приглашаем империалистические страны в нашу страну, чтобы свести на нет китайскую угрозу?","Почему мы, индусы, не противостоим Пакистану и Китаю своими силами? Почему мы приглашаем в нашу страну китайские страны для устранения империалистической угрозы?",0
"Средняя сумма доходов домохозяйства в 2013 году оценивалась в 63 121 доллар США, а медианный доход домохозяйства в городе составлял 78 090 долларов США.","Ориентировочный средний доход на домохозяйство в городе в 2013 году составил 63 121 доллар США, в то время как средний доход на домохозяйство в городе составлял 78 090 долларов США.",1
В Филадельфии (5-1-0) Penn State обыграла (5-1-0) Пенсильванию (19-7),"Пенсильвания (5-1-0) победила Пенн Стейт (5-1-0) Филадельфию, 19-7.",0
"Также он играл за Green Bay Packers и был частью команды, выигравшей Super Bowl XLV над Pittsburgh Steelers.","Он также играл за Pittsburgh Steelers и был частью команды, выигравшей Super Bowl XLV на Green Bay Packers.",0
"Какую еду едят в Англии люди, что не едят в Америке?","Какую еду едят люди в Америке, что не едят люди в Англии?",0
В это время Ольга Корнилова вышла замуж и развелась с однокурсником Николаем Молчановым.,В этот период Ольга вышла замуж за Корнилова и развелась со своим однокурсником Николаем Молчановым.,0
Может ли Хилари находиться в кабинете Билла Клинтона?,Может ли Билл Клинтон находиться в кабинете Хилари?,0
Плющенко: Поеду на реабилитацию в Израиль.,Жители поселка в Эвенкии просят денег на борьбу с бродячими собаками.,0
"Он был взят под защитное крыло Фрэнки Доннер, теперь Франки Брейди.","Он был заключен под охранное крыло сейчас Франки Доннер, потом Франки Брейди.",1
"Роберт Берти женился на Леди Элизабет Поуп, дочери Томаса Поупа, 2-го графа Доуна (позднее третьей жены Ли, 3-го графа Линдси).","Роберт Берти женился на леди Элизабет Пауп, дочери Томаса Паупа, 2-го графа Дон (позднее - третьей жены Ли, 3-го графа Линдси).",1
"Его бывшей женой была Laurie Ann Perlman Rapke, третья жена Джека Рапке.","Его бывшей женой была Laurie Ann Perlman Rapke, третья жена Джека Рапке.",1
В 1975 году его назначили первым генеральным консулом Австралии в Папуа - Новой Гвинее.,В 1975 году был назначен первым генеральным консулом Папуа-Новой Гвианы в Австралии.,0
"Он остался в Уэльсе после 1815 г., когда умерла его жена, но со ослаблением своего здоровья в 1825 г. вернулся жить в Лондон.","Он остался в Лондоне после 1815 года, когда умерла его жена, но со снижением здоровья в 1825 году он вернулся жить в Уэльс.",0
"Он утверждал, что в ходе боевых действий были ранены четверо украинских военнослужащих, а двое его бойцов погибли.","Он утверждал, что четверо украинских военнослужащих погибли, а двое его бойцов во время боев получили ранения.",0
Начальный сегмент Фултон Мэлл как есть сегодня - это Фултон Стрит между Адамс-стрит и Флэттью-авеню.,"Первый отрезок Fulton Mall в том виде, в каком он существует сегодня, - это Фултон-стрит между улицей Адамс и Флэтч-авеню.",0
"Вышла в свет книга ""Русские художники на Венецианской биеннале"".","«Искусство говорит само за себя, а люди должны быть скромны».",0
Минобороны: операция в Йемене предотвратила угрозу Саудовской Аравии,Саудовская Аравия объявила о новой операции в Йемене,0
"После выступлений в Англии за Millwall, Clapton Orient и Chelseford City Уолсингем переехал в Италию, где играл с ""Дженоа"" и ""Болоньей"".","Поиграв за Millwall, Clapton Orient и Chelseford City в Италии, Уолсингем переехал в Англию, чтобы сыграть с ""Дженоа"" и ""Болоньей"".",0
Медведев 6 мая обсудит с Раулем Кастро в Москве проекты в энергетике,Мадуро 6 мая вылетит в Москву,0
"Я работаю в Сингапуре по трудовому удостоверению. Вчера я подал в отставку, но моя компания отказывается меня отпускать и угрожает. Что мне делать?","Я работаю в Сингапуре по трудовому удостоверению. Я уволился вчера, но моя компания угрожает мне увольнением и отрицает. Что мне делать?",0
"Экс-баскетболист ""Лейкерс"" Криттентон приговорен к 23 годам тюрьмы","Бывший баскетболист ""Лос-Анджелес Лейкерс"" проведет в тюрьме 23 года",1
"С 1830 по 1832 год он был депутатом парламента от Данбартоншира, от Грантхэма с 1852 по 1857 год и от Херефордшира с 1858 по 1865 год.","Грэм был членом парламента (MP) от Данбартоншира с 1830 по 1832 год, Грантхэма с 1852 по 1857 год и Херефордшира с 1858 по 1865 год.",0
Не более 5 лет и не менее пожизненного заключения (имеет право на условно-досрочное освобождение после отбытия 25 лет).,Не менее 5 лет и не более пожизненного заключения (имеет право на условно-досрочное освобождение после отбытия 25 лет),0
"Она находится на восточной оконечности Беркли-Саунд, недалеко от Кидни-Коува, и отделена от Порт-Уильяма мысом Менгера.","Она расположена в восточной части Беркли-Саунд, недалеко от Кидни-Коув, и отделена от Порт-Уильяма мысом Менгера.",1
Лидия Йейманс родилась во время поездки из Мельбурна в Сидней у побережья Южной Австралии.,Лидия Йейманс родилась у берегов Южной Австралии во время путешествия из Сиднея в Мельбурн.,0
Полиция разогнала вечеринку в честь дня рождения Гитлера в Москве,Полиция Москвы разогнала вечеринку в честь дня рождения Гитлера,1
"""Протон-М"" вывел европейский спутник связи Astra-2G на целевую орбиту",Спутник Astra-2G успешно выведен на расчетную орбиту «Протоном».,1
Прах короля Камбоджи Н.Сианука предан водам реки Меконг.,Прах бывшего короля Камбоджи захоронили в реке Меконг.,1
"Образование в Алабаме состоит из средних и начальных школ, в том числе университета Алабамы, частных университетов, государственных и частных школ.","Образование в Алабаме состоит из государственных и частных школ в Алабаме, включая Алабамский университет, частных школ, и средних и начальных школ.",1
"Выросший в Лондоне, Клайд подвергался расизму и притеснениям со стороны полиции, что сделало его сердитым и несколько озлобленным.","Выросший в Лондоне, Клайд подвергался расизму и притеснениям со стороны полиции, что сделало его горьким и несколько злым.",1
"Что имеют в виду американцы, говоря о черной России? Есть ли белая Россия?","Что имеют в виду американцы, говоря о белой России? Есть ли черная Россия?",0
В небе над Сирией обстреляли российский пассажирский самолет.,Российская реклама не вышла ростом.,0
На серой ветке московской подземки снова произошел сбой.,После ЧП на «серой» ветке проверят все поезда московского метро.,0
"На север быстро передислоцировались 372-я авиадивизия, дислоцированная в центральном Вьетнаме, а также 917-я, 935-я и 937-я воздушные силы на юге страны.","В северном направлении быстро развернули 372-ю воздушную дивизию Южного Вьетнама, а также 917-й, 935-й и 937-й воздушные полки Центрального Вьетнама.",0
Инвесторов для моногородов найдут к весне.,Россия допустила китайцев до месторождений на Камчатке и Ямале.,0
Он также бывший топ-менеджер BlackRock и бывший чиновник в Казначействе США и Федеральной резервной системе.,Он также является бывшим исполнительным директором BlackRock и бывшим высокопоставленным чиновником в Казначействе США и Федеральной резервной системе.,1
В столице Малави молния убила восемь прихожан.,В столице Малави восемь прихожан убило молнией.,1
"22 ноября 2011 года Бутлер женился на Келли Ли Льюис, ныне профессиональной известной как Келли Ли Батлер.","Butler женился на Келли Ли Батлер 22 ноября 2011 года, в настоящее время известный как Kelly Lee.",0
В нью-йоркском Манхэттене после взрыва обрушилось здание.,В жилом доме на Манхэттене произошел взрыв.,0
В ходе столкновений на гей-параде в Тбилиси пострадали 17 человек.,В Тбилиси во время гей-акции пострадали 17 человек.,1
Временный президент Египта распустил парламент.,Временный глава Египта распустил парламент.,1
"Лорд Слинн высказал краткое мнение, соглашающееся с Лордом Брауном-Уилкинсоном. Лорд Вустер согласился с Лордом Гоффом, лорд Ллойд согласился с Лордом-Брауном-Уилкинсоном.","Лорд Слинн высказал краткое мнение, совпавшее с мнением лорда Брауна-Уилкинсона. Лорд Ллойд согласился с мнением лорда Гоффа, Лорд Вокслейн согласился с мнением лорда Брауна-Вилькинсона.",0
"Железнодорожный вокзал Синдал находится на линии Глен Ваверли в Виктории, Австралия.","Железнодорожная станция Glen Waverley находится на линии Синдал в Виктории, Австралия.",0
Каков самый дешевый способ добраться из Нью-Йорка в Лас-Вегас?,Каков самый дешевый способ добраться из Лас-Вегаса в Нью-Йорк?,0
Путин: Российских войск на Украине нет,"Путин пообещал, что войны с Украиной не будет: мы один народ",0
